"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q3","Q4","Q5","Q13","Q6","Q7","Q8","Q9","Q10","Q11","Q12","id","sub"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293737
"2",8,"3/4/21 14:54","3/4/21 15:00","IP Address","130.253.29.13",100,314,"True","3/4/21 15:00","R_3kMuBNKlhyUWwuh",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Female","Asian","Yes","undecided","No","No","Slightly tired","Well","",59830,304270
"3",12,"3/4/21 15:57","3/4/21 15:58","IP Address","67.166.16.99",100,95,"True","3/4/21 15:58","R_Rnw9jsodxIK1qJb",NA,NA,NA,NA,39.90730286,-105.0156021,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","Hispanic","Yes","International Studies and German","No","No","Not at all tired","Well","",60073,472595
"4",13,"3/4/21 16:23","3/4/21 16:25","IP Address","184.96.63.82",100,135,"True","3/4/21 16:25","R_2w4bZS6KQQmdOZN",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",21,"Female","white and native american","Yes","biochemistry and psychology ","No","No","Slightly tired","Well","",53953,748236
"5",14,"3/4/21 16:32","3/4/21 16:35","IP Address","130.253.27.2",100,155,"True","3/4/21 16:35","R_xgRsYx3oOhRAR8t",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Male","White/Middle Eastern","Yes","Mechanical Engineering","No","No","Slightly tired","Well","",60106,413265
"6",16,"3/4/21 21:17","3/4/21 21:19","IP Address","130.253.29.2",100,148,"True","3/4/21 21:19","R_2QYfyalKEM0lf6i",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","american","Yes","communication and Psychology","No","No","Somewhat tired","Well","",59800,945635
"7",17,"3/5/21 9:01","3/5/21 9:04","IP Address","73.66.191.114",100,124,"True","3/5/21 9:04","R_3MmVez49w3BXdF5",NA,NA,NA,NA,38.6282959,-121.3307037,"anonymous","EN","Please check this box if you have read this form about the study",22,"Female","white","Yes","finance","No","No","Slightly tired","Well","n",60124,901401
"8",20,"3/5/21 14:52","3/5/21 14:54","IP Address","130.253.28.8",100,123,"True","3/5/21 14:54","R_YakkM8ibrnfwgg1",NA,NA,NA,NA,39.67959595,-104.9626007,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,"Female","white","Yes","sociology","No","No","Not at all tired","Well","",59839,344812
"9",21,"3/5/21 22:31","3/5/21 22:33","IP Address","24.179.19.110",100,151,"True","3/5/21 22:33","R_2zCqTSU29UbjVSk",NA,NA,NA,NA,34.69230652,-82.29190063,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,"Male","Bi-racial","Yes","Engineering","No","No","Not at all tired","Well","",60067,640589
"10",22,"3/5/21 23:14","3/5/21 23:23","IP Address","70.59.12.94",100,530,"True","3/5/21 23:23","R_3s6dhX2BfOU4wb4",NA,NA,NA,NA,39.74249268,-105.0979996,"anonymous","EN","Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,"Female","White and hispanic","Yes","Psychology","No","No","Slightly tired","Well","No.",59875,60517
