StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q13,Q6,Q7,Q8,Q9,Q10,Q11,Q12,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Contact InformationThe Principal Investigator of this study is Timothy Sweeny, Ph.D. If you have questions about this study, you may call Dr. Sweeny at (303) 871-2191 or email him at timothy.sweeny@du.edu. If you would like to talk to someone other than the researchers about questions, concerns or complaints regarding this study, or your research participant rights, you may contact the Office of Research Integrity and Education by emailing IRBAdmin@du.edu or calling 303-871-2121. Agreement to be in this studyIf you choose to be in this study, you will get a copy of this consent form. Below, please read each statement carefully and digitally check each associated box if you agree.",What is your age?,Please select your gender:,Please describe your ethnicity,Is English your native language?,What is your undergraduate area of study (major)?,Is there any reason we should not use the data we are collecting from you for this study?,Are you under the influence of any substance (e.g. cold medication) that might impair your ability to complete this study?,How tired are you?,How are you feeling?,"Is there anything else that might affect your performance in this study? If so, please describe it below:",id
2/26/21 9:25,2/26/21 9:25,Survey Preview,,100,16,True,2/26/21 9:25,R_QmtVE5Fvrr3ZL6p,,,,,39.73880005,-104.9868011,preview,EN,,,,,,,,,,,,
3/1/21 10:34,3/1/21 10:34,Survey Preview,,100,12,True,3/1/21 10:34,R_0Ch4sH43qOkxAc1,,,,,39.67959595,-104.9626007,preview,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.",,Female,,Yes,,,Yes,Slightly tired,Very well,,
3/3/21 22:58,3/3/21 22:58,IP Address,24.9.21.184,100,6,True,3/3/21 22:58,R_1FJKW1nP8F23GMI,,,,,39.73880005,-104.9868011,anonymous,EN,,,,,,,,,,,,18811
3/3/21 23:03,3/3/21 23:03,IP Address,24.9.21.184,100,5,True,3/3/21 23:03,R_1E4NF8EsMEzmX3O,,,,,39.73880005,-104.9868011,anonymous,EN,,,,,,,,,,,,18811
3/3/21 23:03,3/3/21 23:03,Spam,24.9.21.184,100,4,True,3/3/21 23:03,R_1GDGlRjgblvjlv2,,,,,39.73880005,-104.9868011,anonymous,EN,,,,,,,,,,,,18811
3/4/21 14:22,3/4/21 14:22,IP Address,24.9.21.184,100,10,True,3/4/21 14:22,R_qX8kadXjdlKhYBj,,,,,39.73880005,-104.9868011,anonymous,EN,"Please check this box if you agree not to be compensated. In this case, you acknowledge that you understand you will not receive chits or monetary compensation.",,,,,,,,,,,18811
3/4/21 14:54,3/4/21 15:00,IP Address,130.253.29.13,100,314,True,3/4/21 15:00,R_3kMuBNKlhyUWwuh,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,Female,Asian,Yes,undecided,No,No,Slightly tired,Well,,59830
3/4/21 15:06,3/4/21 15:06,IP Address,130.253.29.13,100,32,True,3/4/21 15:06,R_3MxLe7OvwXRV7GS,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,Female,Asian,Yes,Undecided,No,No,Slightly tired,Well,,59830
3/4/21 15:08,3/4/21 15:09,Spam,130.253.29.13,100,36,True,3/4/21 15:09,R_3dQA7q1eKpwVN3p,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,Female,Asian,Yes,Undecided,No,No,Slightly tired,Well,,59830
3/4/21 15:43,3/4/21 15:43,Spam,130.253.29.13,100,52,True,3/4/21 15:43,R_3n8h6gmspGh0v0L,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,Female,Asian,Yes,Undecided,No,No,Slightly tired,Well,,59830
