"sub","distBtwShapes","trial_number","cuedAR","uncuedAR","responseAR","rt","global_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","sameDirection1S0D","responseError","sameCatS1D0","identicalShapesI1D0","uncuedCatM1F0C1T"
293737,402,0,0.4633177,0.27799043,0.4633177,2917,1,1,0,180,0,0.6,0,0,0,1,0,1
293737,402,1,-0.00000048,-0.13899593,-0.32432321,3048,0,2,90,90,0,0.6,90,1,-0.32432273,0,0,-1
293737,402,2,-0.27799139,0.41698588,-0.23165957,5038,0,2,90,90,0,0.6,90,1,0.04633182,0,0,1
293737,402,3,-0.23165957,0.13899498,-0.0463323,4958,1,2,90,90,0,0.8,90,1,0.18532727,0,0,1
293737,402,4,-0.13899593,0.27799043,-0.18532775,6288,0,2,90,270,0,0.6,270,0,-0.04633182,0,0,1
293737,402,5,0.04633134,0.23165861,0.18532679,3452,1,1,180,0,0,0.8,180,0,0.13899545,1,0,1
293737,402,6,0.37065407,-0.23165957,-0.37065503,3821,0,2,0,180,0,0.8,180,0,-0.7413091,0,0,-1
293737,402,7,0.18532679,0.4633177,0.13899498,2877,0,1,0,180,0,0.6,0,0,-0.04633181,1,0,1
293737,402,8,-0.41698684,0.32432225,-0.27799139,2502,1,1,90,270,0,0.8,90,0,0.13899545,0,0,1
293737,402,9,-0.13899593,0.4633177,-0.27799139,2384,0,2,270,90,0,0.6,90,0,-0.13899546,0,0,1
293737,402,10,-0.18532775,0.04633134,0.04633134,2543,0,2,90,90,0,0.8,90,1,0.23165909,0,0,1
293737,402,11,-0.32432321,-0.18532775,0.13899498,2281,0,2,270,90,0,0.8,90,0,0.46331819,1,0,-1
293737,402,12,-0.23165957,-0.37065503,0.09266316,3174,1,2,180,0,0,0.8,0,0,0.32432273,1,0,-1
293737,402,13,-0.0463323,0.4633177,-0.13899593,3892,0,2,0,180,0,0.6,180,0,-0.09266363,0,0,1
293737,402,14,0.32432225,-0.13899593,0.37065407,2703,0,1,180,180,0,0.8,180,1,0.04633182,0,0,-1
293737,402,15,0.37065407,0.09266316,0.41698588,4503,1,1,180,0,0,0.8,180,0,0.04633181,1,0,1
293737,402,16,0.27799043,-0.41698684,-0.18532775,3800,0,1,270,90,0,0.8,270,0,-0.46331818,0,0,-1
293737,402,17,-0.13899593,0.09266316,0.18532679,2377,0,1,270,90,0,0.6,270,0,0.32432272,0,0,1
293737,402,18,-0.27799139,-0.41698684,-0.27799139,2736,1,1,180,0,0,0.8,180,0,0,1,0,-1
293737,402,19,0.13899498,-0.13899593,0.27799043,2058,0,1,0,180,0,0.8,0,0,0.13899545,0,0,-1
293737,402,20,0.37065407,-0.41698684,0.4633177,4019,1,1,0,180,0,0.8,0,0,0.09266363,0,0,-1
293737,402,21,0.4633177,-0.37065503,-0.27799139,23353,1,2,180,0,0,0.8,0,0,-0.74130909,0,0,-1
293737,402,22,-0.00000048,-0.23165957,0.23165861,2354,1,2,180,180,0,0.8,180,1,0.23165909,0,0,-1
293737,402,23,-0.41698684,0.04633134,-0.27799139,2458,0,1,90,270,0,0.6,90,0,0.13899545,0,0,1
293737,402,24,0.04633134,0.41698588,0.13899498,1785,1,2,180,0,0,0.6,0,0,0.09266364,1,0,1
293737,402,25,0.41698588,-0.41698684,0.50964952,1801,1,1,90,270,0,0.6,90,0,0.09266364,0,0,-1
293737,402,26,0.32432225,0.37065407,0.04633134,1440,0,2,270,270,0,0.8,270,1,-0.27799091,1,0,1
293737,402,27,0.37065407,-0.27799139,0.37065407,1789,1,1,180,180,0,0.8,180,1,0,0,0,-1
293737,402,28,-0.09266412,0.13899498,-0.18532775,2338,1,1,270,270,0,0.8,270,1,-0.09266363,0,0,1
293737,402,29,0.04633134,-0.18532775,0.04633134,2151,1,2,270,90,0,0.6,90,0,0,0,0,-1
293737,402,30,-0.09266412,0.23165861,-0.00000048,1181,1,1,180,180,0,0.6,180,1,0.09266364,0,0,1
293737,402,31,-0.46331866,-0.00000048,-0.32432321,2485,1,1,0,180,0,0.6,0,0,0.13899545,0,0,0
293737,402,32,0.18532679,-0.37065503,-0.09266412,1936,0,1,180,0,0,0.8,180,0,-0.27799091,0,0,-1
293737,402,33,0.18532679,-0.32432321,0.09266316,1481,0,1,270,270,0,0.6,270,1,-0.09266363,0,0,-1
293737,402,34,-0.00000048,0.41698588,-0.18532775,2583,0,2,90,90,0,0.8,90,1,-0.18532727,0,0,1
293737,402,35,-0.41698684,0.41698588,-0.32432321,3029,1,1,270,270,0,0.8,270,1,0.0926636300000001,0,0,1
293737,402,36,-0.0463323,-0.0463323,-0.00000048,2702,1,1,0,0,0,0.6,0,1,0.04633182,1,1,-1
293737,402,37,-0.09266412,0.27799043,-0.27799139,3135,0,2,180,0,0,0.6,0,0,-0.18532727,0,0,1
293737,402,38,0.18532679,0.13899498,0.09266316,1253,1,1,90,270,0,0.8,90,0,-0.09266363,1,0,1
293737,402,39,-0.23165957,-0.00000048,-0.09266412,1519,1,1,90,90,0,0.8,90,1,0.13899545,0,0,0
293737,402,40,0.27799043,-0.00000048,0.04633134,1339,0,2,90,90,0,0.8,90,1,-0.23165909,0,0,0
