StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q4,Q5,Q13,Q6,Q7,Q8,Q9,Q10,Q11,Q12,id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Contact InformationThe Principal Investigator of this study is Timothy Sweeny, Ph.D. If you have questions about this study, you may call Dr. Sweeny at (303) 871-2191 or email him at timothy.sweeny@du.edu. If you would like to talk to someone other than the researchers about questions, concerns or complaints regarding this study, or your research participant rights, you may contact the Office of Research Integrity and Education by emailing IRBAdmin@du.edu or calling 303-871-2121. Agreement to be in this studyIf you choose to be in this study, you will get a copy of this consent form. Below, please read each statement carefully and digitally check each associated box if you agree.",What is your age?,Please select your gender:,Please describe your ethnicity,Is English your native language?,What is your undergraduate area of study (major)?,Is there any reason we should not use the data we are collecting from you for this study?,Are you under the influence of any substance (e.g. cold medication) that might impair your ability to complete this study?,How tired are you?,How are you feeling?,"Is there anything else that might affect your performance in this study? If so, please describe it below:",id
5/9/21 16:17,5/9/21 16:20,IP Address,130.253.27.4,100,187,True,5/9/21 16:20,R_272IcAdCpMDxsE4,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,Female,White,Yes,marketing,No,No,Slightly tired,Poor,,19168
5/9/21 17:07,5/9/21 17:08,IP Address,130.253.27.12,100,39,True,5/9/21 17:08,R_wWWasuW8OkVE7Fn,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,Female,White,Yes,,No,No,Slightly tired,Poor,,19201
5/9/21 17:19,5/9/21 17:19,IP Address,130.253.27.7,100,38,True,5/9/21 17:19,R_12RL1nmGX6nWr7T,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,Female,Non-hispanic,Yes,Environmental Science,No,No,Somewhat tired,Poor,NA,19207
5/9/21 17:51,5/9/21 17:51,IP Address,130.253.28.1,100,48,True,5/9/21 17:51,R_1NxoPO7qLMcXfHP,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,Female,white,Yes,Marketing ,No,No,Slightly tired,Well,,19092
5/9/21 18:00,5/9/21 18:02,IP Address,162.242.94.65,100,160,True,5/9/21 18:02,R_1FtCL6K6xYKOCsq,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",21,Male,White,Yes,Finance,No,No,Slightly tired,Well,N/A,19148
5/9/21 19:48,5/9/21 19:50,IP Address,66.62.230.234,100,119,True,5/9/21 19:50,R_3RdT7lHvDU4HDD9,,,,,41.43899536,-105.8010025,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",22,Female,White,Yes,Biology,No,No,Not at all tired,Well,,19135
5/9/21 21:19,5/9/21 21:20,IP Address,130.253.27.2,100,77,True,5/9/21 21:20,R_3pmS1FIk8SmDfJx,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",19,Male,white,Yes,mechanical engineering,No,No,Slightly tired,Well,,19162
5/9/21 21:59,5/9/21 22:02,IP Address,137.83.95.255,100,154,True,5/9/21 22:02,R_27QgAF33n45LYg9,,,,,39.73880005,-104.9868011,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",20,Female,mostly western european,Yes,business analytics,No,No,Somewhat tired,Well,,19102
5/10/21 9:39,5/10/21 9:40,IP Address,130.253.27.2,100,60,True,5/10/21 9:40,R_11iRTceN7YbK5yp,,,,,39.67959595,-104.9626007,anonymous,EN,"Please check this box if you have read this form about the study,Please check this box if you understand the possible risks and benefits of this study, and you acknowledge that you know that being in this study is voluntary.,Please check this box if data from this research may be used for future research.,Please check this box if your participation is related to a course in which you are enrolled, in which case you acknowledge that you will receive up to 2 chits worth of credit for participation in this study.",18,Male,white,Yes,english,No,No,Not at all tired,Well,,19218
